BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
3666,,3666,Plate 1 x 6,8,6,Brown,Solid Colors,2,1.06
3710,,3710,Plate 1 x 4,23,13,Pink,Solid Colors,4,0.71
3710,,3710,Plate 1 x 4,24,22,Purple,Solid Colors,1,0.71
3710,371024,3710,Plate 1 x 4,3,14,Yellow,Solid Colors,1,0.71
3710,4216362,3710,Plate 1 x 4,87,232,Sky Blue,Solid Colors,1,0.71
3710,371001,3710,Plate 1 x 4,1,15,White,Solid Colors,8,0.71
3710,4114378,3710,Plate 1 x 4,8,6,Brown,Solid Colors,2,0.71
3710,371021,3710,Plate 1 x 4,5,4,Red,Solid Colors,1,0.71
3958,,3958,Plate 6 x 6,8,6,Brown,Solid Colors,1,4.71
3958,4125217,3958,Plate 6 x 6,2,19,Tan,Solid Colors,1,4.71
6091,6100223,6091,"Slope, Curved 2 x 1 x 1 1/3 with Recessed Stud",6,2,Green,Solid Colors,3,0.65
6091,4189123,6091,"Slope, Curved 2 x 1 x 1 1/3 with Recessed Stud",7,1,Blue,Solid Colors,3,0.65
6091,6184782,6091,"Slope, Curved 2 x 1 x 1 1/3 with Recessed Stud",5,4,Red,Solid Colors,3,0.65
6091,6285777,6091,"Slope, Curved 2 x 1 x 1 1/3 with Recessed Stud",1,15,White,Solid Colors,8,0.65
6091,6361082,6091,"Slope, Curved 2 x 1 x 1 1/3 with Recessed Stud",3,14,Yellow,Solid Colors,3,0.65
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
580,725.7103,,,,,,,,
